,relationship,hematokrit,alp,indicator,etytr,hbver,weight,er-cv,leukocyty,hemoglobin,erytrocyty,trombocyty,smoker,alt,ssn,ast,residence,name,company,birthdate,sex,blood_group,address,race
19,divorced,5.77582,86.14663,0.0,4.85178,6.79239,75.55677,31.61057,4.13434,6.2085,4.69192,3.72523,N,0.96488,278-38-3761,68.09988,"6593 Mccall Park Apt. 928
Lake Amandafort, WI 67535",Mr. Matthew Jenkins,"Ramos, Smith and Mcdaniel",07/25/1953,M,AB+,"5692 Melissa Summit Apt. 132
East Robert, NJ 13775",Hawaiian
20,married,4.59413,78.42617,0.0,5.52274,6.51588,67.01004,51.85156,4.06414,6.08189,5.23002,5.29153,Y,2.18597,278-38-3761,69.75668,"6593 Mccall Park Apt. 928
Lake Amandafort, WI 67535",Mr. Matthew Jenkins,"Ramos, Smith and Mcdaniel",07/25/1953,M,AB+,"5692 Melissa Summit Apt. 132
East Robert, NJ 13775",Hawaiian
21,married,4.73978,58.14283,0.0,4.69857,5.47447,3.7214,64.66009,5.43254,7.60162,4.81285,5.17634,Y,1.52999,823-07-2815,61.24852,"985 Salas Lights Suite 075
Michaelton, NM 66784",Kimberly Cooper,Hogan Ltd,10/01/2002,F,O-,"1259 Howard Mews Suite 992
Lake Gregoryburgh, NV 95147",White
22,nop,9.21015,89.74264,1.0,4.71771,5.73572,51.70001,53.50917,2.18583,6.49467,7.78958,5.60244,N,4.4108,823-07-2815,71.33435,"985 Salas Lights Suite 075
Michaelton, NM 66784",Kimberly Cooper,Hogan Ltd,10/01/2002,F,O-,"1259 Howard Mews Suite 992
Lake Gregoryburgh, NV 95147",White
23,married,4.47072,47.64239,0.0,4.08047,5.79186,60.52015,21.53513,6.15223,4.92192,4.56461,9.61586,N,1.93459,823-07-2815,76.40006,"985 Salas Lights Suite 075
Michaelton, NM 66784",Kimberly Cooper,Hogan Ltd,10/01/2002,F,O-,"1259 Howard Mews Suite 992
Lake Gregoryburgh, NV 95147",White
24,married,4.04121,87.5716,0.0,3.20858,7.91212,95.13613,44.61421,5.72096,6.45461,4.11726,6.77251,N,1.17482,222-98-3014,65.42773,"Unit 3032 Box 1476
DPO AP 99314",Wanda Green,Monroe-Grant,08/01/1963,F,O+,"62405 Todd Motorway Suite 437
East Charlesville, DE 54170",Black
25,nop,5.09996,65.61241,0.0,4.14564,6.1633,51.6949,48.71268,5.23381,5.23889,6.06334,6.79817,N,2.24481,222-98-3014,78.89754,"Unit 3032 Box 1476
DPO AP 99314",Wanda Green,Monroe-Grant,08/01/1963,F,O+,"62405 Todd Motorway Suite 437
East Charlesville, DE 54170",Black
26,single,8.10465,90.08574,1.0,4.48589,7.375,51.0717,33.38057,5.79738,6.52689,6.58608,5.65198,N,1.96467,222-98-3014,73.65515,"Unit 3032 Box 1476
DPO AP 99314",Wanda Green,Monroe-Grant,08/01/1963,F,O+,"62405 Todd Motorway Suite 437
East Charlesville, DE 54170",Black
27,married,7.53847,73.09819,1.0,4.83045,8.13068,155.67559,48.38458,4.39362,7.2421,5.94955,7.22117,N,1.76805,406-20-0640,58.4367,"9391 Jessica Mountain
Heatherside, MS 82168",Alan Harris,Zuniga-Salazar,01/01/2017,M,AB+,"745 Noah Place
North Danielfurt, VA 58875",Hawaiian
28,single,5.26946,79.40367,0.0,3.82863,5.57419,79.43656,31.41794,5.44085,6.3703,5.28343,5.62172,N,1.3263,406-20-0640,64.14706,"9391 Jessica Mountain
Heatherside, MS 82168",Alan Harris,Zuniga-Salazar,01/01/2017,M,AB+,"745 Noah Place
North Danielfurt, VA 58875",Hawaiian
29,divorced,4.32101,82.68152,0.0,5.01673,5.86188,91.69143,55.9976,5.01601,5.99314,4.989,6.27277,Y,2.35478,689-64-1159,59.54597,"004 Macias Throughway Suite 297
South Mary, CT 00561",Maria Lopez,Hardy and Sons,08/19/2015,F,AB+,"31696 Amy River
Port Jasonfort, OR 84193",White
30,single,6.09855,85.90949,1.0,6.76635,4.00264,123.46154,38.7016,8.36377,6.08208,8.30064,4.82588,Y,6.79012,689-64-1159,67.28109,"004 Macias Throughway Suite 297
South Mary, CT 00561",Maria Lopez,Hardy and Sons,08/19/2015,F,AB+,"31696 Amy River
Port Jasonfort, OR 84193",White
31,separated,8.84959,83.72325,1.0,3.8078,4.97709,88.84073,24.74444,7.0414,6.84847,5.60152,6.10092,Y,1.79616,689-64-1159,70.26649,"004 Macias Throughway Suite 297
South Mary, CT 00561",Maria Lopez,Hardy and Sons,08/19/2015,F,AB+,"31696 Amy River
Port Jasonfort, OR 84193",White
32,widowed,3.30579,76.65465,0.0,5.30552,4.55687,99.76874,63.56564,3.88328,5.70333,5.269,6.43212,N,1.58046,689-64-1159,75.5828,"004 Macias Throughway Suite 297
South Mary, CT 00561",Maria Lopez,Hardy and Sons,08/19/2015,F,AB+,"31696 Amy River
Port Jasonfort, OR 84193",White
33,married,4.59387,44.71076,1.0,6.05198,7.89826,89.52435,55.25564,6.63984,4.66318,9.16807,4.31539,N,11.92324,324-91-5922,68.07148,"556 Lauren Lane Suite 035
Smithborough, CT 28524",Timothy Campbell,"Holder, Bentley and Sanders",09/16/1927,M,A-,"631 Pierce Meadows Apt. 518
North Shannon, MO 34327",White
34,divorced,10.22834,69.38515,1.0,1.19732,6.40985,23.0235,57.24332,4.43755,7.23547,4.14035,4.90373,N,2.20351,324-91-5922,75.97621,"556 Lauren Lane Suite 035
Smithborough, CT 28524",Timothy Campbell,"Holder, Bentley and Sanders",09/16/1927,M,A-,"631 Pierce Meadows Apt. 518
North Shannon, MO 34327",White
35,divorced,7.55682,50.84814,1.0,4.11474,6.56284,68.13808,61.34516,6.71732,4.6771,6.71498,6.00427,N,2.61088,324-91-5922,65.36278,"556 Lauren Lane Suite 035
Smithborough, CT 28524",Timothy Campbell,"Holder, Bentley and Sanders",09/16/1927,M,A-,"631 Pierce Meadows Apt. 518
North Shannon, MO 34327",White
36,single,7.83309,43.82362,1.0,1.59036,5.55947,89.12013,32.64488,10.26159,4.79224,4.74422,6.31359,N,1.52359,324-91-5922,66.05916,"556 Lauren Lane Suite 035
Smithborough, CT 28524",Timothy Campbell,"Holder, Bentley and Sanders",09/16/1927,M,A-,"631 Pierce Meadows Apt. 518
North Shannon, MO 34327",White
37,widowed,8.53466,26.77789,1.0,4.58132,5.81206,85.328,62.33572,7.72403,4.19544,5.8026,4.88792,Y,1.90716,872-62-9987,66.21772,"03856 Robert Islands Apt. 321
New Michael, ID 73220",Haley Villa,Warren LLC,05/26/1999,F,AB-,"71906 Schwartz Avenue
Nguyenstad, HI 04712",White
38,married,5.49835,73.42607,1.0,1.59528,7.50043,63.59279,57.38942,4.3533,5.62119,6.33454,4.84219,N,2.18661,872-62-9987,59.44562,"03856 Robert Islands Apt. 321
New Michael, ID 73220",Haley Villa,Warren LLC,05/26/1999,F,AB-,"71906 Schwartz Avenue
Nguyenstad, HI 04712",White
39,single,6.96886,50.97238,1.0,2.87649,6.99345,66.09116,43.99759,3.51061,7.84496,7.41186,5.9596,N,3.61331,872-62-9987,57.24499,"03856 Robert Islands Apt. 321
New Michael, ID 73220",Haley Villa,Warren LLC,05/26/1999,F,AB-,"71906 Schwartz Avenue
Nguyenstad, HI 04712",White
40,single,7.59877,63.96726,1.0,3.52441,6.31079,39.09589,43.58996,5.01237,5.13236,6.88747,6.75344,N,2.83386,555-73-8477,45.29595,"649 Michael Flats Suite 079
Lake Patriciafort, AZ 99874",Lisa Reed,Rodgers-Clark,01/23/2005,F,A+,"206 Williams Trail Apt. 468
West Scott, CA 02719",Indian
41,married,6.37426,82.57551,0.0,3.35185,5.01553,61.79404,59.81087,5.15416,6.39055,5.08258,5.16193,N,1.61061,555-73-8477,77.08213,"649 Michael Flats Suite 079
Lake Patriciafort, AZ 99874",Lisa Reed,Rodgers-Clark,01/23/2005,F,A+,"206 Williams Trail Apt. 468
West Scott, CA 02719",Indian
42,separated,7.17704,68.16816,1.0,3.28985,6.70485,84.52069,63.05522,3.30861,7.32537,8.07761,6.38867,Y,5.25246,555-73-8477,59.39576,"649 Michael Flats Suite 079
Lake Patriciafort, AZ 99874",Lisa Reed,Rodgers-Clark,01/23/2005,F,A+,"206 Williams Trail Apt. 468
West Scott, CA 02719",Indian
43,widowed,7.45523,65.67952,1.0,5.52964,4.78281,5.13554,36.05822,6.17861,5.27502,7.3742,6.04588,Y,3.44347,351-95-1871,66.38527,"5341 Hudson Squares
Port Angelica, IN 81895",Mark Jenkins,"Gonzales, Gilbert and Sloan",05/15/1934,M,O-,"5726 Jennifer Bridge
Kennethview, CA 97378",White
44,divorced,7.27645,58.61714,1.0,4.93717,6.47761,40.22491,32.541,5.35767,5.12607,5.14283,4.69309,Y,2.04961,351-95-1871,56.65626,"5341 Hudson Squares
Port Angelica, IN 81895",Mark Jenkins,"Gonzales, Gilbert and Sloan",05/15/1934,M,O-,"5726 Jennifer Bridge
Kennethview, CA 97378",White
45,married,7.0958,87.72372,1.0,5.45797,7.73389,16.24007,52.60312,5.62729,6.30418,6.31526,5.5207,N,2.48809,351-95-1871,57.92858,"5341 Hudson Squares
Port Angelica, IN 81895",Mark Jenkins,"Gonzales, Gilbert and Sloan",05/15/1934,M,O-,"5726 Jennifer Bridge
Kennethview, CA 97378",White
46,single,6.64191,73.09569,1.0,3.79899,6.76022,56.26081,37.85231,4.7434,7.12416,6.61612,4.66455,N,2.42896,596-18-3603,63.32201,"181 Gibson Walks Apt. 563
Leahborough, NV 99350",Carolyn Waller,Mills-Benjamin,04/29/1927,F,AB+,"4667 Salazar Groves
East Shawnburgh, VT 45258",White
47,single,8.50591,69.02503,1.0,3.77463,6.30601,65.07041,60.62925,6.66518,5.32229,5.77662,5.86272,N,1.51684,596-18-3603,78.1256,"181 Gibson Walks Apt. 563
Leahborough, NV 99350",Carolyn Waller,Mills-Benjamin,04/29/1927,F,AB+,"4667 Salazar Groves
East Shawnburgh, VT 45258",White
48,widowed,3.1271,48.67423,0.0,6.30721,6.71771,79.52265,73.30132,4.4371,4.67936,6.06141,6.62917,Y,1.72044,596-18-3603,53.63594,"181 Gibson Walks Apt. 563
Leahborough, NV 99350",Carolyn Waller,Mills-Benjamin,04/29/1927,F,AB+,"4667 Salazar Groves
East Shawnburgh, VT 45258",White
49,single,7.65653,86.23402,1.0,5.57645,5.81237,92.7942,58.85179,6.16656,6.01683,7.24045,6.85604,N,3.37658,187-38-3038,68.3589,"35343 Kevin Gateway Apt. 502
Grimestown, DC 25995",Henry Foster,"Ramirez, Brown and Thomas",02/08/2001,M,B+,"USNS Gutierrez
FPO AE 85476",Black
50,nop,6.39811,88.89862,0.0,3.94768,6.34617,54.02986,38.96999,4.43256,5.8852,6.51239,5.35957,N,2.98769,187-38-3038,68.24446,"35343 Kevin Gateway Apt. 502
Grimestown, DC 25995",Henry Foster,"Ramirez, Brown and Thomas",02/08/2001,M,B+,"USNS Gutierrez
FPO AE 85476",Black
51,single,4.25928,71.03166,0.0,3.88901,6.02133,59.22244,71.99517,5.25098,5.41072,4.33425,6.70642,N,0.18614,187-38-3038,68.34019,"35343 Kevin Gateway Apt. 502
Grimestown, DC 25995",Henry Foster,"Ramirez, Brown and Thomas",02/08/2001,M,B+,"USNS Gutierrez
FPO AE 85476",Black
52,single,6.06476,78.78063,0.0,4.22659,5.75884,75.43325,38.26257,4.87701,5.64182,4.19899,5.50508,N,0.75575,187-60-5064,50.20066,"879 Sanchez Haven Apt. 405
Choimouth, CO 70259",Dalton Vargas,Waters PLC,10/06/1996,M,B-,"7775 Adam Mount
North Pamela, NJ 49929",White
53,divorced,10.20237,62.19795,0.0,6.05277,6.05442,46.11563,41.3942,2.12426,5.20127,7.2011,4.01369,Y,3.07794,187-60-5064,59.03327,"879 Sanchez Haven Apt. 405
Choimouth, CO 70259",Dalton Vargas,Waters PLC,10/06/1996,M,B-,"7775 Adam Mount
North Pamela, NJ 49929",White
54,married,6.04825,80.20329,1.0,3.62636,4.80841,75.40271,43.35523,5.86046,5.68516,4.98668,6.55781,Y,1.97255,187-60-5064,55.55985,"879 Sanchez Haven Apt. 405
Choimouth, CO 70259",Dalton Vargas,Waters PLC,10/06/1996,M,B-,"7775 Adam Mount
North Pamela, NJ 49929",White
55,divorced,3.62432,48.55411,0.0,5.30233,6.581,73.03837,29.25636,4.75215,4.8475,7.50422,7.42581,Y,3.22239,398-09-8142,66.445,"USNV Rice
FPO AA 58623",Brandon Allen,"Conley, Ochoa and Hale",01/02/2009,M,O+,"139 Cook Estate
Edwardsstad, SD 70472",White
56,nop,5.40542,82.84249,0.0,4.06994,6.62017,58.52721,52.71425,4.68931,5.67097,6.38839,4.74459,N,2.33971,398-09-8142,64.3877,"USNV Rice
FPO AA 58623",Brandon Allen,"Conley, Ochoa and Hale",01/02/2009,M,O+,"139 Cook Estate
Edwardsstad, SD 70472",White
57,single,6.0893,40.25254,1.0,4.9183,4.65424,43.04153,49.18301,6.40385,7.88399,8.16399,4.73591,N,4.91748,398-09-8142,68.87795,"USNV Rice
FPO AA 58623",Brandon Allen,"Conley, Ochoa and Hale",01/02/2009,M,O+,"139 Cook Estate
Edwardsstad, SD 70472",White
58,married,7.41018,74.15185,1.0,1.56092,4.9951,50.76984,39.36253,5.9542,5.50063,5.86422,5.44153,Y,1.92301,639-18-7892,53.04665,"420 Hill Port Apt. 074
New Kristin, AR 26300",Monica Ross,Phillips-Woods,12/12/2007,F,AB-,"78642 Brown Squares Suite 246
West Williamland, ME 73571",White
59,divorced,7.32418,89.0468,1.0,2.58796,6.32732,136.60008,48.22046,2.87391,6.3015,7.17625,7.45323,N,3.48945,639-18-7892,72.91483,"420 Hill Port Apt. 074
New Kristin, AR 26300",Monica Ross,Phillips-Woods,12/12/2007,F,AB-,"78642 Brown Squares Suite 246
West Williamland, ME 73571",White
60,single,7.50535,84.98334,1.0,4.78306,5.83794,56.16687,49.06802,4.60789,5.94504,5.24372,6.34645,Y,2.58379,639-18-7892,63.83732,"420 Hill Port Apt. 074
New Kristin, AR 26300",Monica Ross,Phillips-Woods,12/12/2007,F,AB-,"78642 Brown Squares Suite 246
West Williamland, ME 73571",White
61,nop,9.75369,10.50574,1.0,1.4394,4.9111,90.26743,28.80498,4.36237,3.3175,4.6704,6.82158,Y,2.29772,841-43-4173,71.29823,"7144 Joseph Mews Suite 314
North Daleborough, UT 62115",Shirley Taylor,Lopez LLC,07/26/1994,F,AB-,"39838 Wagner Parkways
West Jacob, NJ 17543",White
62,single,6.51947,74.37774,1.0,4.20266,5.8492,107.36984,42.91996,2.89774,5.92387,7.61654,4.91158,N,2.77428,841-43-4173,50.0129,"7144 Joseph Mews Suite 314
North Daleborough, UT 62115",Shirley Taylor,Lopez LLC,07/26/1994,F,AB-,"39838 Wagner Parkways
West Jacob, NJ 17543",White
63,divorced,7.47357,75.60832,1.0,4.1686,6.88914,82.77732,42.5288,4.12049,5.51542,6.42773,7.14081,Y,2.70322,841-43-4173,55.02923,"7144 Joseph Mews Suite 314
North Daleborough, UT 62115",Shirley Taylor,Lopez LLC,07/26/1994,F,AB-,"39838 Wagner Parkways
West Jacob, NJ 17543",White
64,divorced,2.62096,90.04035,1.0,6.40209,5.60126,15.01008,30.36448,4.78748,6.65707,8.88076,7.13755,N,9.36688,265-22-6206,58.99714,"086 Thomas Hills Apt. 383
Tinafurt, WI 83417",Anna Evans,Perez Inc,10/18/1960,F,A+,"1167 John Mall Suite 243
Jenniferside, ND 17328",White
65,married,5.54242,74.32835,0.0,5.86095,5.67348,118.51032,32.89084,6.68588,5.81162,5.52099,6.31755,N,1.5393,265-22-6206,79.68264,"086 Thomas Hills Apt. 383
Tinafurt, WI 83417",Anna Evans,Perez Inc,10/18/1960,F,A+,"1167 John Mall Suite 243
Jenniferside, ND 17328",White
66,divorced,7.22369,67.9322,1.0,5.02441,6.29212,93.60624,55.105,8.00973,5.24384,6.80564,6.33033,N,3.22264,030-34-0437,64.91001,"49852 Cervantes Key
Johnnyfort, OR 20625",Allen Conner,Powers-Taylor,12/22/1911,M,B-,"PSC 6502, Box 4309
APO AA 93094",Black
67,single,5.95444,68.78618,0.0,3.86079,5.49746,73.65237,51.2984,6.2688,5.35515,4.03541,5.36618,N,2.43598,030-34-0437,61.80112,"49852 Cervantes Key
Johnnyfort, OR 20625",Allen Conner,Powers-Taylor,12/22/1911,M,B-,"PSC 6502, Box 4309
APO AA 93094",Black
68,widowed,4.67065,71.07988,0.0,6.42804,6.3233,85.9937,49.27009,4.22315,5.44751,5.73816,6.63275,N,1.57268,030-34-0437,70.2292,"49852 Cervantes Key
Johnnyfort, OR 20625",Allen Conner,Powers-Taylor,12/22/1911,M,B-,"PSC 6502, Box 4309
APO AA 93094",Black
69,single,5.75731,89.05224,0.0,2.86403,6.43955,22.27758,40.89995,5.47514,6.25365,3.43692,6.2252,N,2.31065,553-64-7242,63.97907,"9819 Camacho Station Suite 266
Laurenbury, NV 14535",James Gonzalez,Greer Group,10/23/1954,M,B-,"91155 Taylor Extensions Suite 370
North Jennifer, NE 55112",Black
70,widowed,4.84546,85.12201,0.0,4.13559,5.21303,91.54662,53.05269,4.84926,6.54382,4.46654,5.37475,Y,2.51217,553-64-7242,70.71632,"9819 Camacho Station Suite 266
Laurenbury, NV 14535",James Gonzalez,Greer Group,10/23/1954,M,B-,"91155 Taylor Extensions Suite 370
North Jennifer, NE 55112",Black
71,nop,8.31615,71.09359,1.0,5.1262,7.30337,53.52781,28.69346,9.61956,5.4797,5.97642,5.58514,Y,2.98573,553-64-7242,74.01581,"9819 Camacho Station Suite 266
Laurenbury, NV 14535",James Gonzalez,Greer Group,10/23/1954,M,B-,"91155 Taylor Extensions Suite 370
North Jennifer, NE 55112",Black
72,married,7.74594,22.57283,1.0,4.57237,6.04057,85.49524,36.25331,3.84629,4.12226,7.58397,7.08811,N,4.23957,184-58-2893,45.41396,"16517 Amber Island
Sandrafurt, FL 03974",Sara Bates,"Johnson, Vasquez and Bond",01/23/2012,F,AB+,"4302 Roberts Extensions Suite 451
Georgeshire, WV 29717",Black
73,divorced,7.14327,87.94054,1.0,3.30859,4.47577,23.12153,49.23852,3.81298,6.08525,7.10368,5.51165,Y,2.78086,184-58-2893,66.24414,"16517 Amber Island
Sandrafurt, FL 03974",Sara Bates,"Johnson, Vasquez and Bond",01/23/2012,F,AB+,"4302 Roberts Extensions Suite 451
Georgeshire, WV 29717",Black
74,divorced,8.71184,77.03343,1.0,4.34002,5.58009,41.40125,59.24447,3.28701,5.49435,4.37655,6.5922,N,2.68971,184-58-2893,58.70702,"16517 Amber Island
Sandrafurt, FL 03974",Sara Bates,"Johnson, Vasquez and Bond",01/23/2012,F,AB+,"4302 Roberts Extensions Suite 451
Georgeshire, WV 29717",Black
75,divorced,4.00543,84.21806,0.0,2.28139,6.21829,46.35033,61.75437,5.65194,5.89782,3.63507,5.34886,N,2.5685,500-50-9542,59.18254,"49943 Adams Branch Suite 888
North Mariachester, ME 81348",Jennifer Jones,Shaffer Inc,01/14/2016,F,AB+,"41446 Paula Estates Apt. 217
East Desiree, NH 08297",White
76,divorced,6.11383,73.33347,1.0,3.88125,6.83563,31.48858,51.80139,5.62238,6.91849,6.60703,6.00104,Y,2.46102,500-50-9542,71.18453,"49943 Adams Branch Suite 888
North Mariachester, ME 81348",Jennifer Jones,Shaffer Inc,01/14/2016,F,AB+,"41446 Paula Estates Apt. 217
East Desiree, NH 08297",White
77,separated,8.68668,72.19864,1.0,3.0003,5.25055,106.76531,59.29233,5.41922,7.20927,5.96283,6.17254,N,1.37206,500-50-9542,65.62588,"49943 Adams Branch Suite 888
North Mariachester, ME 81348",Jennifer Jones,Shaffer Inc,01/14/2016,F,AB+,"41446 Paula Estates Apt. 217
East Desiree, NH 08297",White
78,widowed,4.60948,70.61561,0.0,5.36065,6.06188,71.21046,68.97911,3.95853,5.45975,5.109,9.44555,N,2.29838,369-20-0313,64.0759,"97130 Sarah Highway Suite 150
Lake Joshuatown, KY 70974",Oscar Reed,Stevenson-Oliver,07/30/1978,M,B+,"619 Robinson Mission
Port Hollyport, IN 69695",Black
79,divorced,5.70135,86.46906,1.0,6.94903,5.15727,69.91415,29.56481,6.34705,6.28338,9.2902,4.85852,Y,13.99126,369-20-0313,48.81991,"97130 Sarah Highway Suite 150
Lake Joshuatown, KY 70974",Oscar Reed,Stevenson-Oliver,07/30/1978,M,B+,"619 Robinson Mission
Port Hollyport, IN 69695",Black
80,married,6.05956,77.66219,1.0,1.89321,6.30013,45.7002,53.07328,3.97117,7.16031,6.54086,5.98836,Y,2.8235,369-20-0313,61.60057,"97130 Sarah Highway Suite 150
Lake Joshuatown, KY 70974",Oscar Reed,Stevenson-Oliver,07/30/1978,M,B+,"619 Robinson Mission
Port Hollyport, IN 69695",Black
81,divorced,4.88873,45.28717,0.0,4.70987,7.24678,69.77271,40.6257,4.50637,4.81643,7.33972,5.57726,Y,4.3448,736-66-6884,58.15616,"151 Duncan Common Apt. 193
Robertschester, ME 24862",Walter Cooper,"Scott, Dyer and Scott",02/24/1972,M,A+,"38321 Derek Land Suite 173
Hudsonburgh, LA 58014",Black
